SampleID	CONTIG_COUNT	TOTAL_LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	T2T_SCAFFOLDS	TELOMERE_FWD	TELOMERE_REV	Telomeres_Found	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
Cystobasidium_sp._DBVPG10075.canu	16	23012586	1376	5552092	36953	1438286.62	3	4802358	5	2976549	48.88	1	5	2	7	91.9	91.7	0.2	1.6	6.5	1764
Cystobasidium_sp._DBVPG10075.canu.medaka	16	23015589	1376	5552746	36994	1438474.31	3	4802933	5	2976889	48.88	1	5	2	7	92.7	92.5	0.2	1.3	6.0	1764
Cystobasidium_sp._DBVPG10075.canu.pilon	16	23015350	1376	5552692	36994	1438459.38	3	4802890	5	2976865	48.88	NA	4	2	6	92.7	92.5	0.2	1.3	6.0	1764
Cystobasidium_sp._DBVPG10075.flye	17	22898959	1214	5553939	22336	1346997.59	3	4802707	5	2935234	48.89	NA	1	NA	1	92.3	92.0	0.3	1.4	6.3	1764
Cystobasidium_sp._DBVPG10075.flye.medaka	17	22901634	1214	5554407	22356	1347154.94	3	4803182	5	2935494	48.90	NA	1	1	2	92.8	92.5	0.3	1.2	6.0	1764
Cystobasidium_sp._DBVPG10075.flye.pilon	17	22901397	1214	5554364	22356	1347141.00	3	4803121	5	2935464	48.90	NA	1	1	2	92.8	92.5	0.3	1.2	6.0	1764
Cystobasidium_sp._DBVPG10075.raven	9	22869610	8568	5553980	2936239	2541067.78	3	4802544	5	2936239	48.89	NA	3	1	4	91.8	91.6	0.2	1.8	6.4	1764
Cystobasidium_sp._DBVPG10075.raven.medaka	9	22872451	8694	5554099	2936701	2541383.44	3	4802566	5	2936701	48.89	1	3	2	5	92.4	92.2	0.2	1.4	6.2	1764
Cystobasidium_sp._DBVPG10075.raven.pilon	9	22872363	8694	5554044	2936674	2541373.67	3	4802526	5	2936674	48.89	1	3	2	5	92.4	92.2	0.2	1.4	6.2	1764
Cystobasidium_sp._R3.canu	126	40504919	3006	2830046	175233	321467.61	19	713877	59	196954	48.77	NA	NA	NA	NA	92.1	37.5	54.6	1.3	6.6	1764
Cystobasidium_sp._R3.canu.medaka	126	40529382	3010	2831250	175350	321661.76	19	714260	59	196978	48.78	NA	NA	NA	NA	92.4	28.9	63.5	0.8	6.8	1764
Cystobasidium_sp._R3.flye	38	39664377	2873	4268706	104099	1043799.39	6	2829136	13	1330401	48.86	NA	NA	1	1	92.5	28.3	64.2	1.0	6.5	1764
Cystobasidium_sp._R3.flye.medaka	38	39667076	2842	4268987	104103	1043870.42	6	2829344	13	1330498	48.87	NA	NA	1	1	92.6	27.2	65.4	0.9	6.5	1764
Cystobasidium_sp._R3.raven	60	21816003	10234	1842323	156530	363600.05	9	931321	26	280803	48.80	NA	NA	NA	NA	75.7	73.0	2.7	7.5	16.8	1764
Cystobasidium_sp._R3.raven.medaka	60	22077151	10232	1870690	157696	367952.52	9	943043	26	284090	49.16	NA	NA	NA	NA	76.2	73.2	3.0	7.1	16.7	1764
Rhodotorula_araucariae_Y17376.canu	28	20355736	6976	2226311	778346	726990.57	7	1374756	15	724145	65.43	16	16	17	33	97.1	96.7	0.4	0.7	2.2	1764
Rhodotorula_araucariae_Y17376.canu.medaka	28	20375696	7032	2228483	779066	727703.43	7	1376007	15	724813	65.46	16	16	17	33	98.1	97.7	0.4	0.4	1.5	1764
Rhodotorula_araucariae_Y17376.canu.pilon	28	20374994	7032	2228370	779026	727678.36	7	1375981	15	724811	65.46	16	16	17	33	98.2	97.8	0.4	0.4	1.4	1764
Rhodotorula_araucariae_Y17376.flye	63	20223947	504	3079780	22334	321015.03	6	1282718	16	614446	65.56	1	9	6	15	97.6	97.3	0.3	0.5	1.9	1764
Rhodotorula_araucariae_Y17376.flye.medaka	63	20235211	504	3081560	22348	321193.83	6	1283347	16	614777	65.58	1	9	6	15	98.0	97.6	0.4	0.5	1.5	1764
Rhodotorula_araucariae_Y17376.flye.pilon	63	20229545	504	3081452	22348	321103.89	6	1283333	16	614775	65.58	1	9	6	15	98.2	97.8	0.4	0.4	1.4	1764
Rhodotorula_araucariae_Y17376.raven	21	20117342	14200	2474754	887409	957968.67	6	1393214	14	723769	65.66	NA	2	2	4	97.9	97.5	0.4	0.5	1.6	1764
Rhodotorula_araucariae_Y17376.raven.medaka	21	20131930	14828	2475512	887805	958663.33	6	1393837	14	724601	65.67	NA	2	2	4	98.0	97.6	0.4	0.5	1.5	1764
Rhodotorula_araucariae_Y17376.raven.pilon	21	20131109	14829	2475417	887787	958624.24	6	1393753	14	724608	65.67	NA	2	2	4	98.3	97.9	0.4	0.4	1.3	1764
Rhodotorula_dairenensis_Y2504.canu	25	19813132	5501	2136754	890679	792525.28	6	1331150	14	797668	61.64	14	16	14	30	97.0	96.5	0.5	0.3	2.7	1764
Rhodotorula_dairenensis_Y2504.canu.medaka	25	19828238	5502	2138262	891405	793129.52	6	1332033	14	798335	61.65	14	16	14	30	97.5	97.0	0.5	0.2	2.3	1764
Rhodotorula_dairenensis_Y2504.canu.pilon	25	19827249	5502	2138148	891344	793089.96	6	1331988	14	798299	61.65	14	16	14	30	97.6	97.1	0.5	0.2	2.2	1764
Rhodotorula_dairenensis_Y2504.flye	34	19685199	549	2137795	454711	578976.44	7	1221544	15	685516	61.80	3	8	11	19	97.4	96.8	0.6	0.4	2.2	1764
Rhodotorula_dairenensis_Y2504.flye.medaka	34	19695200	549	2138781	455009	579270.59	7	1222105	15	685853	61.81	3	8	11	19	97.4	96.8	0.6	0.3	2.3	1764
Rhodotorula_dairenensis_Y2504.flye.pilon	34	19693717	549	2138666	454978	579226.97	7	1222049	15	685816	61.81	3	8	11	19	97.5	96.9	0.6	0.3	2.2	1764
Rhodotorula_dairenensis_Y2504.raven	19	19599109	14455	2137974	965561	1031532.05	6	1331406	14	798755	61.87	4	6	11	17	97.0	96.5	0.5	0.3	2.7	1764
Rhodotorula_dairenensis_Y2504.raven.medaka	19	19600058	14472	2138088	966286	1031582.00	6	1331801	14	798446	61.87	4	6	11	17	97.4	96.9	0.5	0.2	2.4	1764
Rhodotorula_dairenensis_Y2504.raven.pilon	19	19598745	14472	2137961	966225	1031512.89	6	1331739	14	798130	61.87	4	6	11	17	97.4	96.9	0.5	0.2	2.4	1764
Rhodotorula_diobovata_Y7196.canu	20	22298076	3047	2467368	1274133	1114903.80	7	1495557	15	860266	66.63	15	15	17	32	97.5	97.0	0.5	0.9	1.6	1764
Rhodotorula_diobovata_Y7196.canu.medaka	20	22317882	3048	2469360	1275281	1115894.10	7	1496973	15	861089	66.65	15	15	17	32	98.6	98.1	0.5	0.2	1.2	1764
Rhodotorula_diobovata_Y7196.canu.pilon	20	22315830	3048	2469216	1275200	1115791.50	7	1496865	15	861009	66.65	15	15	17	32	98.9	98.4	0.5	0.1	1.0	1764
Rhodotorula_diobovata_Y7196.flye	47	22147310	572	2453551	13502	471219.36	7	1444691	16	747465	66.73	6	14	8	22	97.9	97.6	0.3	0.7	1.4	1764
Rhodotorula_diobovata_Y7196.flye.medaka	47	22143812	572	2455819	13508	471144.94	7	1445797	16	747921	66.75	6	14	8	22	98.6	98.3	0.3	0.2	1.2	1764
Rhodotorula_diobovata_Y7196.flye.pilon	47	22131403	572	2455683	13508	470880.91	7	1445691	16	747882	66.75	6	14	8	22	98.9	98.6	0.3	0.1	1.0	1764
Rhodotorula_diobovata_Y7196.raven	21	22145727	30830	2468187	1021207	1054558.43	7	1291863	16	760367	66.77	4	13	8	21	98.4	97.9	0.5	0.4	1.2	1764
Rhodotorula_diobovata_Y7196.raven.medaka	21	22154771	30870	2469204	1022853	1054989.10	7	1291890	16	760227	66.79	4	13	8	21	98.7	98.2	0.5	0.1	1.2	1764
Rhodotorula_diobovata_Y7196.raven.pilon	21	22153227	30873	2469053	1022780	1054915.57	7	1291793	16	760180	66.79	4	13	8	21	98.9	98.4	0.5	0.1	1.0	1764
Rhodotorula_evergladensis_DBVPG7922.canu	22	20974816	6305	2294512	1027446	953400.73	7	1385109	15	789218	61.09	16	16	17	33	97.2	97.2	0.0	0.6	2.2	1764
Rhodotorula_evergladensis_DBVPG7922.canu.medaka	22	20987786	6349	2295880	1028102	953990.27	7	1385891	15	789670	61.11	16	16	17	33	98.1	98.1	0.0	0.2	1.7	1764
Rhodotorula_evergladensis_DBVPG7922.canu.pilon	22	20983807	6349	2295789	1028071	953809.41	7	1385852	15	789650	61.11	16	16	17	33	98.1	98.1	0.0	0.2	1.7	1764
Rhodotorula_evergladensis_DBVPG7922.flye	32	20686319	1117	2294363	654306	646447.47	7	1306608	16	654306	61.38	3	7	7	14	97.1	97.1	0.0	0.5	2.4	1764
Rhodotorula_evergladensis_DBVPG7922.flye.medaka	32	20698213	1117	2295547	654716	646819.16	7	1307251	16	654716	61.39	3	7	7	14	98.0	98.0	0.0	0.2	1.8	1764
Rhodotorula_evergladensis_DBVPG7922.flye.pilon	32	20697056	1118	2295476	654677	646783.00	7	1307230	16	654677	61.39	3	7	7	14	98.1	98.1	0.0	0.2	1.7	1764
Rhodotorula_evergladensis_DBVPG7922.raven	42	21016053	27489	2115673	307988	500382.21	9	929230	25	264564	61.22	NA	4	5	9	97.4	97.1	0.3	0.2	2.4	1764
Rhodotorula_evergladensis_DBVPG7922.raven.medaka	42	21036576	27504	2116975	308093	500870.86	9	929760	25	264641	61.22	NA	4	5	9	98.0	97.7	0.3	0.3	1.7	1764
Rhodotorula_evergladensis_DBVPG7922.raven.pilon	42	21033534	27504	2116901	308084	500798.43	9	929742	25	264622	61.22	NA	4	5	9	98.0	97.7	0.3	0.3	1.7	1764
Rhodotorula_graminis_Y2474.canu	38	21620302	1330	1646847	441237	568955.32	8	1026996	20	413569	67.15	9	20	13	33	98.9	98.7	0.2	0.2	0.9	1764
Rhodotorula_graminis_Y2474.canu.medaka	38	21632195	1330	1647687	441418	569268.29	8	1027456	20	413823	67.16	9	20	13	33	99.2	99.0	0.2	0.1	0.7	1764
Rhodotorula_graminis_Y2474.canu.pilon	38	21631809	1330	1647653	441412	569258.13	8	1027445	20	413814	67.15	9	20	13	33	99.2	99.0	0.2	0.1	0.7	1764
Rhodotorula_graminis_Y2474.flye	36	21207912	1168	2367620	68727	589108.67	7	1441203	15	771867	67.61	4	13	9	22	99.0	98.8	0.2	0.1	0.9	1764
Rhodotorula_graminis_Y2474.flye.medaka	36	21213993	1178	2368735	68756	589277.58	7	1441957	15	768695	67.62	4	13	9	22	99.1	98.9	0.2	0.1	0.8	1764
Rhodotorula_graminis_Y2474.flye.pilon	36	21213298	1169	2368692	68756	589258.28	7	1441935	15	768652	67.62	4	13	9	22	99.2	99.0	0.2	0.1	0.7	1764
Rhodotorula_graminis_Y2474.raven	21	21066439	28499	2343875	970881	1003163.76	7	1430310	15	683994	67.69	5	9	7	16	98.5	98.3	0.2	0.2	1.3	1764
Rhodotorula_graminis_Y2474.raven.medaka	21	21073983	28554	2344689	971308	1003523.00	7	1431925	15	684522	67.70	5	9	7	16	99.0	98.8	0.2	0.1	0.9	1764
Rhodotorula_mucilaginosa_Y2510.canu	23	20534919	53045	2174558	826638	892822.57	7	1264829	16	665167	60.32	14	18	15	33	95.6	95.4	0.2	1.0	3.4	1764
Rhodotorula_mucilaginosa_Y2510.canu.medaka	23	20549002	53108	2175785	827188	893434.87	7	1265705	16	665637	60.33	14	18	15	33	97.4	97.2	0.2	0.4	2.2	1764
Rhodotorula_mucilaginosa_Y2510.canu.pilon	23	20548471	53108	2175774	827169	893411.78	7	1265681	16	665606	60.32	14	18	15	33	97.9	97.7	0.2	0.3	1.8	1764
Rhodotorula_mucilaginosa_Y2510.flye	30	20372661	2269	2170556	665471	679088.70	7	1286140	15	665471	60.43	8	11	14	25	96.6	96.5	0.1	0.6	2.8	1764
Rhodotorula_mucilaginosa_Y2510.flye.medaka	30	20380117	2269	2171173	665729	679337.23	7	1286621	15	665729	60.43	8	11	14	25	97.3	97.2	0.1	0.4	2.3	1764
Rhodotorula_mucilaginosa_Y2510.flye.pilon	30	20379247	2261	2171149	665672	679308.23	7	1286568	15	665672	60.43	8	11	14	25	97.7	97.6	0.1	0.4	1.9	1764
Rhodotorula_mucilaginosa_Y2510.raven	21	20356683	40110	2175850	987247	969365.86	7	1286151	15	665978	60.46	NA	1	5	6	96.0	95.9	0.1	0.8	3.2	1764
Rhodotorula_mucilaginosa_Y2510.raven.medaka	21	20359117	40138	2175700	987137	969481.76	7	1285962	15	665539	60.45	NA	1	5	6	97.4	97.3	0.1	0.3	2.3	1764
Rhodotorula_mucilaginosa_Y2510.raven.pilon	21	20358065	40139	2175667	987122	969431.67	7	1285902	15	665497	60.45	NA	1	5	6	97.8	97.7	0.1	0.3	1.9	1764
Rhodotorula_paludigena_Y12923.canu	49	20978294	1458	1363650	218809	428128.45	10	953195	26	216017	64.04	5	18	15	33	98.3	98.2	0.1	0.5	1.2	1764
Rhodotorula_paludigena_Y12923.canu.medaka	49	20988079	1466	1364268	218911	428328.14	10	953600	26	216123	64.05	5	18	15	33	99.0	98.9	0.1	0.2	0.8	1764
Rhodotorula_paludigena_Y12923.canu.pilon	49	20985708	1466	1364212	218905	428279.76	10	953597	26	216116	64.04	5	18	15	33	99.0	98.9	0.1	0.2	0.8	1764
Rhodotorula_paludigena_Y12923.flye	141	21050331	874	1523652	50027	149293.13	17	355590	57	107930	63.98	NA	10	7	17	98.5	98.2	0.3	0.5	1.0	1764
Rhodotorula_paludigena_Y12923.flye.medaka	141	21054724	854	1523795	50049	149324.28	17	355639	57	107946	63.99	NA	10	7	17	98.5	98.3	0.2	0.3	1.2	1764
Rhodotorula_paludigena_Y12923.flye.pilon	141	21052678	854	1523061	50047	149309.77	17	355639	57	107948	63.99	NA	10	7	17	98.7	98.5	0.2	0.3	1.0	1764
Rhodotorula_paludigena_Y12923.raven	42	20841662	21893	1589083	457651	496230.05	11	656368	28	308599	64.20	NA	1	3	4	98.0	97.9	0.1	0.5	1.5	1764
Rhodotorula_paludigena_Y12923.raven.medaka	42	20845449	22281	1589664	457532	496320.21	11	656435	28	308582	64.19	NA	1	3	4	99.0	98.9	0.1	0.2	0.8	1764
Rhodotorula_paludigena_Y12923.raven.pilon	42	20842536	22281	1589863	457524	496250.86	11	656395	28	308576	64.19	NA	1	3	4	98.9	98.8	0.1	0.2	0.9	1764
Rhodotorula_sp._DBVPG7947.canu	126	25442016	4087	4970708	23300	201920.76	4	2602531	17	68117	50.29	NA	4	2	6	91.1	85.9	5.2	1.9	7.0	1764
Rhodotorula_sp._DBVPG7947.canu.medaka	126	25455169	4105	4971623	23325	202025.15	4	2603031	17	68253	50.31	NA	4	2	6	91.9	86.5	5.4	1.5	6.6	1764
Rhodotorula_sp._DBVPG7947.canu.pilon	126	25452162	4110	4971618	23320	202001.29	4	2603031	17	68250	50.31	NA	4	2	6	91.9	85.2	6.7	1.6	6.5	1764
Rhodotorula_sp._DBVPG7947.flye	105	35543063	653	5553563	103154	338505.36	4	3901548	48	127999	55.02	NA	5	7	12	93.2	74.3	18.9	1.2	5.6	1764
