SampleID	CONTIG_COUNT	TOTAL_LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	Telomeres_Found	Telomeres_Fwd	Telomeres_Rev	Telomeres_CompleteChrom	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
Rhodotorula_babjevae	27	21862387	8677	2415752	644441	809718.04	8	1067634	19	429397	68.23	10	3	7	NA	NA	NA	NA	NA	NA	NA
Rhodotorula_diobovata	361	21142622	1004	563716	35373	58566.82	55	118648	182	35306	66.91	15	7	8	NA	NA	NA	NA	NA	NA	NA
Rhodotorula_glutinis	32	22884177	10137	1666309	913408	715130.53	9	1088897	18	759164	67.46	19	8	11	4	NA	NA	NA	NA	NA	NA
Rhodotorula_graminis	26	21013998	1041	2366775	672003	808230.69	7	1420730	16	525756	67.00	6	6	NA	NA	NA	NA	NA	NA	NA	NA
Rhodotorula_kratochvilovae	46	23718404	30759	2421707	203001	515617.48	8	1067950	22	255572	67.30	7	4	3	NA	NA	NA	NA	NA	NA	NA
Rhodotorula_mucilaginosa	30	20357829	25026	1636503	660442	678594.30	8	1136838	17	504538	59.88	31	14	17	9	NA	NA	NA	NA	NA	NA
Rhodotorula_paludigena	78	20655447	20441	1647824	167523	264813.42	15	384082	50	131895	64.30	28	13	15	NA	NA	NA	NA	NA	NA	NA
Rhodotorula_sp._CC01	140	19925548	2044	955711	69320	142325.34	18	347364	63	87924	60.03	31	14	17	NA	NA	NA	NA	NA	NA	NA
Rhodotorula_sp._CCFEE_5036	155	19072598	312	930366	38337	123049.02	19	337802	57	104466	60.55	30	14	16	NA	NA	NA	NA	NA	NA	NA
Rhodotorula_sp._FNED7-22	2892	16339983	2500	165144	4037	5650.06	700	5929	2291	2987	49.38	5	4	1	NA	NA	NA	NA	NA	NA	NA
Rhodotorula_sp._JG-1b	156	19393393	1068	1017535	63280	124316.62	18	301937	69	83857	60.61	30	16	14	NA	NA	NA	NA	NA	NA	NA
Rhodotorula_sp._M30-05A-2	423	20224578	508	297488	30525	47812.24	68	91068	231	26496	60.55	20	9	11	NA	NA	NA	NA	NA	NA	NA
Rhodotorula_sp._S30-09	121	18521032	500	1175058	57111	153066.38	17	395462	47	136012	61.52	12	5	7	NA	NA	NA	NA	NA	NA	NA
Rhodotorula_sp._VS67	181	20263449	1006	1305728	23901	111952.76	15	350365	59	80981	60.57	25	12	13	NA	NA	NA	NA	NA	NA	NA
Rhodotorula_sp._ZM1	423	19201912	308	546159	2949	45394.59	35	178286	115	46127	61.16	21	12	9	NA	NA	NA	NA	NA	NA	NA
Rhodotorula_sphaerocarpa	32	18031004	22796	1921806	514641	563468.88	8	1074774	18	452151	63.00	25	12	13	8	NA	NA	NA	NA	NA	NA
Rhodotorula_taiwanensis	181	19606691	1021	946164	21671	108324.26	17	388693	60	75810	61.60	26	13	13	NA	NA	NA	NA	NA	NA	NA
Rhodotorula_toruloides	94	20223942	1037	1534859	55931	215148.32	11	574942	34	218878	61.91	29	17	12	3	NA	NA	NA	NA	NA	NA
